"OLD URL (with id)","NEW URL"
taxonomy/term/662,/taxonomy/term/457
taxonomy/term/663,/taxonomy/term/458
taxonomy/term/664,/taxonomy/term/459
taxonomy/term/665,/taxonomy/term/461
taxonomy/term/666,/taxonomy/term/462
taxonomy/term/667,/taxonomy/term/463
taxonomy/term/668,/taxonomy/term/460
taxonomy/term/669,/taxonomy/term/464
taxonomy/term/670,/taxonomy/term/465
taxonomy/term/671,/taxonomy/term/466
taxonomy/term/672,/taxonomy/term/469
taxonomy/term/673,/taxonomy/term/467
taxonomy/term/674,/taxonomy/term/468
taxonomy/term/675,/taxonomy/term/470
taxonomy/term/676,/taxonomy/term/471
taxonomy/term/677,/taxonomy/term/473
taxonomy/term/678,/taxonomy/term/472
taxonomy/term/679,/taxonomy/term/474
taxonomy/term/680,/taxonomy/term/481
taxonomy/term/681,/taxonomy/term/477
taxonomy/term/682,/taxonomy/term/478
taxonomy/term/683,/taxonomy/term/479
taxonomy/term/684,/taxonomy/term/480
taxonomy/term/685,/taxonomy/term/482
taxonomy/term/686,/taxonomy/term/475
taxonomy/term/687,/taxonomy/term/476
taxonomy/term/688,/taxonomy/term/483
taxonomy/term/689,/taxonomy/term/484
taxonomy/term/690,/taxonomy/term/485
taxonomy/term/691,/taxonomy/term/486
taxonomy/term/692,/taxonomy/term/487
taxonomy/term/693,/taxonomy/term/488
taxonomy/term/694,/taxonomy/term/489
taxonomy/term/695,/taxonomy/term/490
taxonomy/term/696,/taxonomy/term/491
taxonomy/term/697,/taxonomy/term/492
taxonomy/term/698,/taxonomy/term/493
taxonomy/term/699,/taxonomy/term/496
taxonomy/term/700,/taxonomy/term/495
taxonomy/term/701,/taxonomy/term/497
taxonomy/term/702,/taxonomy/term/499
taxonomy/term/704,/taxonomy/term/500
taxonomy/term/706,/taxonomy/term/9
taxonomy/term/707,/taxonomy/term/11
taxonomy/term/708,/taxonomy/term/16
taxonomy/term/710,/taxonomy/term/4
taxonomy/term/711,/taxonomy/term/2
taxonomy/term/712,/taxonomy/term/19
taxonomy/term/714,/taxonomy/term/17
taxonomy/term/715,/taxonomy/term/12
taxonomy/term/716,/taxonomy/term/1
taxonomy/term/717,/taxonomy/term/13
taxonomy/term/718,/taxonomy/term/15
taxonomy/term/719,/taxonomy/term/8
taxonomy/term/720,/taxonomy/term/10
taxonomy/term/721,/taxonomy/term/7
taxonomy/term/722,/taxonomy/term/14
taxonomy/term/723,/taxonomy/term/6
taxonomy/term/724,/taxonomy/term/3
taxonomy/term/726,/taxonomy/term/502
taxonomy/term/728,/taxonomy/term/576
taxonomy/term/729,/taxonomy/term/563
taxonomy/term/730,/taxonomy/term/562
taxonomy/term/731,/taxonomy/term/548
taxonomy/term/732,/taxonomy/term/554
taxonomy/term/733,/academics/area/natural-sciences
taxonomy/term/734,/taxonomy/term/537
taxonomy/term/789,/taxonomy/term/18
taxonomy/term/790,/taxonomy/term/5
taxonomy/term/793,/taxonomy/term/131
taxonomy/term/805,/taxonomy/term/556
taxonomy/term/806,/taxonomy/term/555
taxonomy/term/807,/taxonomy/term/565
taxonomy/term/808,/taxonomy/term/579
taxonomy/term/809,/resources/category/study-tips
taxonomy/term/810,/resources/category/careers
taxonomy/term/811,/resources/category/adult-learners
taxonomy/term/812,/resources/category/starting-college
taxonomy/term/813,/taxonomy/term/32
taxonomy/term/814,/taxonomy/term/25
taxonomy/term/815,/taxonomy/term/42
taxonomy/term/817,/taxonomy/term/43
taxonomy/term/818,/taxonomy/term/22
taxonomy/term/819,/taxonomy/term/37
taxonomy/term/821,/taxonomy/term/567
taxonomy/term/822,/taxonomy/term/54
taxonomy/term/824,/taxonomy/term/564
taxonomy/term/825,/taxonomy/term/302
taxonomy/term/826,/taxonomy/term/584
node/1,/news/oduonline-awesome-films-win-telly-award
node/2,/news/oduonline-student-represents-virginia-national-radiology-conference
node/3,/news/international-student-will-use-oduonline-scholarship-funds-study-data-security
node/4,/news/old-dominion-university-cut-undergraduate-tuition-active-duty-military
node/5,/news/30-oduonline-students-inducted-tau-sigma-honor-society
node/6,/news/odu-ranked-2018-best-and-most-affordable-online-colleges-human-services
node/7,/news/odu-ranked-military-friendly-university-ninth-straight-year
node/8,/news/odu-virginia-appalachian-tricollege-nursing-program-partner-online-program
node/9,/news/odu-partners-college-albemarle-concurrent-rn-bsn
node/10,/news/oduonline-ranked-again-us-news-world-report-best-online-programs
node/11,/news/nova-and-old-dominion-university-sign-guaranteed-transfer-and-cybersecurity-agreements
node/12,/news/forever-gi-bill-allows-flexible-learning-opportunities
node/13,/news/odu-rn-bsn-expands-options
node/14,/news/odu-student-wins-scholarship-modeling-and-simulation-studies
node/15,/news/oduonline-associate-vp-receives-board-appointment
node/16,/news/join-green-dot-movement-september-26
node/17,/news/old-dominion-university-named-school-distinction-honoring-quality-online-learning
node/18,/news/phd-graduate-finds-support-oduonline-classmates-staff
node/19,/news/community-colleges-host-odu-graduates-local-ceremonies
node/20,/news/quizzes-hospital-room-how-new-dad-earned-his-degree-oduonline
node/21,/news/maritime-researchers-receive-international-recognition
node/22,/news/us-news-ranks-odu-mba-among-best-online-programs
node/23,/news/us-news-ranks-odu-among-best-online-programs
node/24,/news/odus-darden-college-education-named-best-online-masters-degree-list
